title,company,location,salary,experience,degree,tags,job_description,job_url,source,scraped_at
SAAS大客户销售（科创AI大数据）,企知道大数据科技有限公司,南通,1.2-2万,3-5年,本科,,【公司简介】|企知道科技是一家为政府提供企业动态监测、大数据招商引才、政策分析与匹配、科创生态管理等服务，为企业提供产学研对接、知识产权、产业政策咨询、财务、法律、品牌、融资等服务的科创服务机构。公司在全国设立60多家分子公司，为全国20多个省市的政府部门和30万家企业服务，是国家工信部认定的全国唯一的科创类大数据产业发展示范企业。公司旗下“企知道”大数据科创服务平台，汇集了全国9500万家企业信息数据、1.6亿全球专利数据、4500万全国产业政策数据、20万产学研入库专家和300万科研成果数据，为广大创新主体连接先进技术、领域专家、政策支持与科创金融，打造中国第一的科技创新大数据平台、中国第一的全球科创资源汇集枢纽平台。|【我们需要您做的是】：通过电话，拜访与企业客户保持良好沟通，并提供专业企业创新咨询合作方案，直接对接老板完成商务洽谈促成合作。|【我们想要您是这样的人】：|1、热爱销售工作，进取心、责任心强，有强烈成功欲望和抗压能力;|2、普通话流利，思维敏捷，有良好的表达能力和沟通技巧;|3、工作主动，有良好的服务意识;|4、若有软件等相关销售经验更好 。|该职位全职工作属于公司正式员工编制，一经录用将享有:|1、底薪+提成，综合薪资12000-20000元，公司提供电脑|2、带薪培训(成长计划培训+专业技能培训+一对一师傅带教）全方位助你成长|3、内部良好的晋升通道，专业和管理双向晋升通道;|4、入职即缴纳六险一金、各类带薪休假(法定假日、年假、婚假、产假、陪产假、带薪年假等)|5、奖金丰厚(月TOP奖、季度最佳销售团队奖、进步最快新人奖、最佳员工奖等)|6、除国家法定节假日外，每年免费旅游，以及各种员工活动(聚餐、郊游、运动会、员工生日会等);|7、表现优秀者可晋升导师或TeamLeader。|我们的培训发展路径是:|专业路线--大客户销售(千万级业绩销售) 管理路线--专员-组长-主管-经理-总监-城市经理;|企知道欢迎你的加入，让我们一起做一份伟大的事业~|备注：上班时间周一至周六，早上8：30-12：00 13：30-18：00，法定节假日都休息,http://www.zhaopin.com/jobdetail/CCL1464680980J40869279408.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:13
2026届校招-大数据公司-助理咨询设计师（珠海）,中交公规土木大数据信息技术(北京)有限公司,珠海,8000-15000元,经验不限,硕士,,工作职责|1、负责土木监测方案设计及设计文件编写工作；|2、负责土木结构健康监测系统数据分析、土木有限元计算分析、土木健康监测等工作；|3、新技术跟踪等相关工作。|任职资格|1、应届毕业生；桥梁工程、土木工程类相关专业研究生及以上学历；|2、熟练掌握设计软件，能够完成各类桥梁结构监测数据分析，具有较强的技术报告撰写能力者优先；|3、专业基本功扎实，思路清晰，口头、书面表达能力强。|4、有结构健康监测研究经历或实习经历者优先,http://www.zhaopin.com/jobdetail/CC481045180J40847731905.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:16
大数据开发工程师,河南省悉数大数据科技有限公司,郑州,6000-10000元,3-5年,大专,,岗位职责：|1、参与项目需求分析、根据需求设计文档、准确且高质量完成代码编写及技术文档编写：|2、按照项目计划，完成开发任务，确保项目进度和质量：|2、构建项目指标体系，并基于指标体系，及时发现与定位业务问题：|3、设计数据质量监控规侧，协同业务部门提升数据准确性及完整性：|4、参与数据中台的开发、建设流程和规范设计，包括：数据建模，数据管理规范设计，ETL流程优化等：|5、协调业务与技术团队，推动数据标准与规范的执行，解决项目问题。|任职要求|1、计算机相关专业，3年以上数据开发工作经验，熟悉数仓建设领域的相关知识：|2、精通SQL语言，熟悉mysql、oracle、sqlserver等数据库的使用，熟悉维度建模方法论：|3、熟悉Kettle、DataX等至少一种ETL工具。|5、具有较好的沟通能力，思路清晰，善于思考，能独立分析和解决问题。|6、具备复杂业务的开发经验和较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题。|7、踏实能干，积极主动，主动承担，能够在项目中独当一面。|加分项：熟悉java优先|工作地点：郑州市高新区国家大学科技园东区16号楼B座5层508室。|交通线路：地铁8号线到大学科技园站C口出步行600米；|B13，B51，B35，45路到（电厂路段）漳河路下车；|B302到（电厂路段）电厂路公交站下车；|50路（漳河路段）电厂路下车；|职位福利：公司福利、单双轮休、法定节假日、五险、年底奖金,http://www.zhaopin.com/jobdetail/CCL1454683790J40829884011.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:18
AI大数据软件销售,企知道大数据科技有限公司,台州,7000-12000元,经验不限,大专,,岗位职责：|1.学习并了解大数据AI平台&软件，向企业讲解展示产品力，并与企业洽谈合作；|2.为客户规划、制定知识产权、项目政策方案，帮助客户通过维护知识产权、申报认证项目获得利益；|3.开拓对应B端市场，并做好客户维护形成优质客户池。|任职资格：|1.大专及以上学历，无相关经验均可（提供带薪培训），软件销售经验优先；|2.表达能力强，普通话流利，有较强的逻辑思维能力，专业学习快；|3.热爱并看好知识产权行业、科技项目的发展前景，有志于在本行业长期发展；；|4.性格外向，有亲和力，喜欢销售岗位，不排斥电话。|薪酬福利：|1.4K-6K无责底薪+高额提成+年度奖金+带薪年假；|2.晋升渠道：透明、公开、健全的晋升机制，一切凭实力说话；|3.员工福利：生日福利、转正福利、周年福利、重大节日外加不定期团队聚餐，发放节日礼品；|4.七险一金：入职开始缴纳五险一金，转正缴纳七险一金；|5. 培训体系：完善的培训体系，除专项入职培训外，每月均有不定期的各种培训，如专利、项目培训、企业文化、知识产权专业知识等培训，更有集团大佬的培训团队进行赋能，只为培养一个更好的你。,http://www.zhaopin.com/jobdetail/CCL1464680980J40770588208.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:20
大数据工程师,重庆康洲大数据(集团)有限公司,重庆,9000-18000元,经验不限,大专,,岗位职责：|1、参与大数据平台的规划和建设；|2、协助数据产品人员制定数据存储、处理规范；|3、负责平台相关数据处理逻辑的设计与实现|任职要求：|1、具备较丰富的spark（Structured Streaming）相关开发经验；|2、具备较丰富的Kafka、HDFS、Hbase、Hive、Elasticsearch及MySQL相关使用和开发经验；|3、能熟练使用Linux操作系统；|职位福利：周末双休、带薪年假、绩效奖金、交通补助、五险一金、餐补,http://www.zhaopin.com/jobdetail/CC373881913J00464192208.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:23
大数据产品经理,重庆传晟酷德大数据科技有限公司,重庆,1-1.5万,二郎,5-10年,,我们希望您投递的简历中能体现职责和要求所对应的输出物或描述清楚相关佐证材料，我们热诚欢迎此前在大数据产品或TO G软件产品设计上有成熟的、成功的创新与融合经验的求职者加盟并一同继续成功！|岗位职责：|1、主持行业与重点客户需求调研、产品架构，规划不同阶段的产品生命周期，制订相应的产品战略。|2、带领团队开展产品设计、需求分析、需求讨论，根据客户反馈不断优化，确保产品在市场中具有竞争力。|3、负责产品管理和支持工作，包括编制产品规范与文案、协调处理产品问题、参与展会活动及产品演示等。|任职要求：|1、本科及以上学历，计算机或软件相关专业，5年以上大数据及人工智能行业解决方案产品经理工作经验，有国土、规划、不动产等行业至少1个大数据平台、数据中台、数据分析挖掘或数据治理产品的设计经验（请在投递的简历中体现）。|2、对市场趋势与国家政策有敏锐的感知力，能为客户提炼需求且能有效转化为具有竞争力的产品方案，并能持续对现有产品优化迭代，提升用户满意度和市场占有率。|3、精通各类产品原型开发与管理工具，如Axure、Xmind、Visio、Jira等，擅长沟通协调，能有效地管理资源和风险，有团队管理经验者优先。,http://www.zhaopin.com/jobdetail/CC339419930J40668120011.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:25
SaaS软件/AI大数据产品销售,企知道大数据科技有限公司,无锡,8000-12000元,1-3年,本科,,一、工作职责|1. 通过公司提供的数据库线索，进行电话寻访或资源转化的形式约见面谈客户核心需求，全流程跟进工作；|2. 营销产品亮点：企业经营情报获取、内部研发管理降本增效、智能营销拓客、产学研链接、智慧财税等多模块；|3. 完成当月既定目标，持续学习产品更新迭代知识。|二、任职资格|1. 全*制本科及以上学历；1年以上销售工作经验，toB SAAS软件类销售优先。过往经历适配度高可放宽至统招大专；|2. 热爱并看好科创大数据行业的发展前景，有志于在本行业长期发展；|3. 有上进心，能吃苦耐劳，富有不断进取的精神和良好团队合作意识；|4. 具备良好的心理素质，具备在困难、挫折、艰苦的逆境中生存的能力。,http://www.zhaopin.com/jobdetail/CCL1464680980J40918775908.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:28
大数据分析师,内蒙古恒鼎大数据产业有限公司,呼和浩特,5000-7000元,1-3年,本科,,岗位职责：|1. 围绕业务目标，负责数据需求与资源有效性评估；|2. 负责构建业务场景、分析框架、核心指标体系等数据驱动解决方案设计；|3. 负责数据质量、数据异常、数据链路风险分析；|4. 负责数据标准、质量规则、分类分级等治理制度、规范、标准编制；|5. 负责数据治理、数据应用实施方案设计、培训；|6. 负责数据治理工作的组织、指导、协调和质量监督；|7. 负责数据应用服务落地与业务优化；|【任职条件】|1. 学历专业：大学本科及以上学历，大数据、数据科学、统计学、计算机科学等相关专业；|2. 职业素养：具备清晰的职业规划、正向的职业价值观及严谨负责的工作态度；拥有良好的团队协作意识与高效沟通能力；|3. 职业素质：对数据高度敏感；责任心强、耐心细致；具备复杂问题分析与解决能力；具备快速掌握新技术并应用于实际的学习能力；具备一定的工作承压能力；|4. 业务能力：|（1）基础理论：熟悉数据治理理论框架与实践流程；掌握统计学、概率论与数据挖掘核心知识和具备系统的数据分析方法论；熟悉常用分析模型（如回归、分类、聚类）及评估方法（如准确率、召回率等），并能结合业务场景合理选型并验证模型有效性；了解DCMM、DAMA-DMBOK等数据治理标准；了解数据质量维度及数据分类分级、元数据管理等标准规范。|（2）工具技能：了解或者掌握Python、SQL、Excel等数据处理工具，会使用Power BI、Tableau等可视化工具，了解主流数据治理平台或元数据管理工具，能独立设计交互式仪表盘和清晰、有体系的可视化报告；|（3）文档撰写能力：具备良好的文档编写习惯，能够准确、规范地输出数据分析报告、技术方案及项目文档，确保内容逻辑清晰、结构完整、术语准确；|理解能力：能够快速理解业务需求与数据逻辑，准确把握项目目标与关键指标，具备较强的跨领域学习能力，可高效对接业务部门并转化为数据分析方案。,http://www.zhaopin.com/jobdetail/CC805076820J40978544904.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:30
大数据开发（自考本+银行）,北京青钱信息技术有限公司,北京,1.3-1.6万,3-5年,本科,,1. 具有5年以上工作经验，具备数仓建模理论知识，熟悉范式建模和维度建模，能够进行数据模型设计（MAPPING和物理模型设计）；|2. 精通SQL语言，能够根据设计方案输出高质量代码，可以进行代码优化；|3. 精通常用数据库系统(Oracle/Mysql/Greenplum/hive/tidb)，有丰富的存储过程开发、SQL优化等数据开发经验优先；|4. 具有ETL工具使用经验、适配和开发异构数据的传输工具程序；|5. 熟悉金融业务知识，了解银行相关业务系统及系统间的数据关系；,http://www.zhaopin.com/jobdetail/CC337626410J40844225810.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:33
科创AI大数据saas平台电话销售,企知道大数据科技有限公司,深圳,1.2-2万,1-3年,本科,,【公司简介】|企知道科技是一家为政府提供企业动态监测、大数据招商引才、政策分析与匹配、科创生态管理等服务，为企业提供产学研对接、知识产权、产业政策咨询、财务、法律、品牌、融资等服务的科创服务机构。公司在全国设立60多家分子公司，为全国20多个省市的政府部门和30万家企业服务，是国家工信部认定的全国唯一的科创类大数据产业发展示范企业。公司旗下“企知道”大数据科创服务平台，汇集了全国9500万家企业信息数据、1.6亿全球专利数据、4500万全国产业政策数据、20万产学研入库专家和300万科研成果数据，为广大创新主体连接先进技术、领域专家、政策支持与科创金融，打造中国第一的科技创新大数据平台、中国第一的全球科创资源汇集枢纽平台。|【我们需要您做的是】：通过电话，拜访与企业客户保持良好沟通，并提供专业企业创新咨询合作方案，直接对接老板完成商务洽谈促成合作。|【我们想要您是这样的人】：|1、热爱销售工作，进取心、责任心强，有强烈成功欲望和抗压能力;|2、普通话流利，思维敏捷，有良好的表达能力和沟通技巧;|3、工作主动，有良好的服务意识;|4、若有软件等相关销售经验更好 。|该职位全职工作属于公司正式员工编制，一经录用将享有:|1、底薪+提成，综合薪资12000-20000元，公司提供电脑|2、带薪培训(成长计划培训+专业技能培训+一对一师傅带教）全方位助你成长|3、内部良好的晋升通道，专业和管理双向晋升通道;|4、入职即缴纳六险一金、各类带薪休假(法定假日、年假、婚假、产假、陪产假、带薪年假等)|5、奖金丰厚(月TOP奖、季度最佳销售团队奖、进步最快新人奖、最佳员工奖等)|6、除国家法定节假日外，每年免费旅游，以及各种员工活动(聚餐、郊游、运动会、员工生日会等);|7、表现优秀者可晋升导师或TeamLeader。|我们的培训发展路径是:|专业路线--大客户销售(千万级业绩销售) 管理路线--专员-组长-主管-经理-总监-城市经理-区域经理;|企知道欢迎你的加入，让我们一起做一份伟大的事业~|备注：上班时间周一至周六，法定节假日都休息,http://www.zhaopin.com/jobdetail/CCL1464680980J40922187508.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:35
大数据开发【2026届】(J19619),阳光保险集团,北京,面议,经验不限,本科,,岗位职责:|1、负责前沿技术及大数据技术的研究和使用；|2、负责业务部门需求分析，并通过大数据技术完成功能的开发、验证、交付；|3、负责已上线系统、定时任务、实时任务的稳定运行及效率优化；|4、负责参与并跟踪需求开发、测试、上线、评估等工作；|5、负责参与需求开发质量标准的制定，并推进质量管理标准监测与落实；|6、完成领导交办的其他工作。|任职要求:|1、计算机、信息管理、软件工程、数学等相关专业优先；|2、具备软件工程、程序设计及其语言、数据库、大数据技术等专业知识；|3、具备软件系统维护、业务系统应用支持等专业技能；|4、具备Java、Scala等开发语言技能；具备Spark Core、Spark Streaming等相关开发技能，掌握常用算子及对应的效率情况；|5、具备良好的抗压能力，具备良好的沟通表达能力。,http://www.zhaopin.com/jobdetail/CC120868770J40988417004.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:38
大数据开发实习生,中科星图测控技术股份有限公司,合肥,120-220元/天,,本科,,任职要求：|1.熟悉java/python/scala至少一种语言，有大数据开发经验优先|2.了解hadoop/hbase/spark/flink分布式大数据体系，有实际项目优先|3.了解mysql/starocks数据库存储，熟悉sql语法，会sql的语法调优。|4.熟悉shell命令，开发shell相关脚本。|5.对数据敏感，有良好的沟通表达能力和跨团队协调能力|岗位职责：|1.参与大数据平台的设计与开发，协助完成数据采集，清洗，存储及处理等任务|2.支持数据产品的开发，包括前后端对接|3.参与大数据相关技术的研究与测试，优化数据处理流程，提升系统性能|4.与团队协作，完成数据平台的需求分析，协助制定技术方案，推动项目进展,http://www.zhaopin.com/jobdetail/CCL1454892140J40884191512.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:40
toB大客户销售（大数据AI平台）,企知道大数据科技有限公司,深圳,8000-15000元,1-3年,本科,,企知道是一家基于大数据、云计算、人工智能技术，向企业提供科创服务（知识产权、产业政策申报、产学研对接、科创金融等）、SaaS平台服务、科创AI大数据服务的专业服务机构，知识产权行业龙头企业，致力于提升全天下企业核心竞争力。总部位于深圳，全国设有60多家分子公司，累计合作客户20万家，员工超5000人。|【公司产品】科创大数据服务平台+科技项目申报+专利+财税服务，是国家工信部认定的全国唯一的科创服务类大数据产业发展示范企业|【工作内容】电销+面销|1、面向制造业、商贸业、科技型公司等企业客户，挖掘需求，推广大数据AI产品；|2、紧跟市场经济环境，深度学习研究公司的产品内容；|3、与意向客户进行线上或线下的商务谈判，解决客户疑虑，达成合作；|4、完成个人业绩目标，并与团队成员配合，实现团队业绩目标；|5、工作流程：电话邀约—线下面谈—商务洽谈—成交签单|【任职要求】|1、本科及以上学历，专业不限；|2、具有1年以上大客户销售经验，有IT行业、软件、企业服务等行业销售经验优先；|3、逻辑思维强，善于总结并具备解决问题的能力；具备良好的目标感、主动性、学习能力和沟通能力；|4、看好大数据、人工智能行业的发展前景，有志于在本行业长期发展。|【工作时间】|上午8:30-12:00，下午13:30-18:00，周日固定休息，法定节假日按国家通知放假。|【薪资待遇】|1、薪资待遇：无责任底薪（6k—10k，专员6k—7k，干部7k—10k，具体定薪依据面试定级确认）+高额提成（6%—15%，客单价10w—50w）+奖金（月度、季度、年度）；|2、入职即缴纳五险一金+转正后额外缴纳商业险+节日福利+生日福利+节日聚餐+定期体检+期权等；|3、培训：线上+线下培训模式，线上企业大学平台提供相应网课，线下资深老师带教，对无行业经验新人也可快速上手；|4、晋升机会公开透明：按照业绩能力，无排资论辈，专员—组长—主管—经理—分总。,http://www.zhaopin.com/jobdetail/CCL1464680980J40921640908.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:42
总行科技部-大数据研发岗,重庆银行,重庆,1-1.5万,3-5年,硕士,,岗位职责:|（1）负责根据我行技术路线，进行数据交换平台、数据仓库、数据采集及加工的研发工作。|（2）负责数据相关系统日常维护工作，及时妥善处理生产事件。|（3）负责根据行内项目管理流程规范，完成相关数据项目的需求调研分析、总体实施方案设计、系统设计质量把控、代码质量把控、版本控制、测试支持、投产支持、项目文档编写等工作。|（4）负责跟踪数据平台架构的演进发展方向，探索创新前沿数据应用技术，协助制定数据ETL的技术发展规划。|任职要求:|（1）基本要求：35周岁及以下，思想素质好，遵纪守法，无违规违纪行为记录，身体健康。具有高度的责任心和敬业精神，具备良好的学习能力、沟通能力和团队合作意识。|（2）学历及专业：硕士研究生及以上学历，计算机、数学等相关专业。|（3）从业经验及资历：3年及以上科技或数字化相关从业经验。|（4）专业能力及素质要求：|a.具备较强的科学决策、组织管理、协调能力，具有较强的分析汇总能力、应对突发事件的能力。|b.熟练掌握数据ETL技术，具备数据采集、数据处理、数据仓库相关系统建设的技术能力。|c.精通软件工程理论和方法，包括需求分析、系统设计、编码、测试、部署等全生命周期管理。具备良好的编程习惯和文档编写能力，能够编写清晰、可维护的代码和文档。熟悉主流软件开发版本管理工具、开发调试工具、性能测试工具及持续集成部署工具等。|d.精通项目管理知识，具备丰富的项目管理经验，能够合理制定项目计划、分配资源，并严格把控项目建设进度和风险。|e.熟悉Hadoop、GBASE、达梦、TD等主流数据库，熟练掌握SQL语言。|f.熟悉银行业务，了解银行软件开发的特点和需求。|（5）符合我行近亲属回避制度规定。,http://www.zhaopin.com/jobdetail/CC200108110J40884193112.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:45
外贸+大数据+AI智能（周末双休，英语佳优先）,环球慧思数据技术,青岛,8000-14000元,经验不限,本科,,嘿，朋友！我们正在寻找一位充满激情、敢于挑战的外贸业务员，一起探索海外市场的无限可能！|你的工作将是与海外客户建立和维护良好关系，了解市场动态，跟进订单并提供优质服务，参与商务谈判并达成合作。让我们一起跨越国界，拓展业务版图！|如果你具备以下条件，就赶快加入我们吧！|本科及以上学历，国际贸易、商务英语等相关专业优先；|英语听说读写能力俱佳，能熟练运用各种办公软件；|有外贸销售或相关领域工作经验者优先，但新手也欢迎挑战；|善于沟通和谈判，能独立处理和解决问题；|对市场变化敏感，学习能力强，能抗压。我们期待你的加入，一起书写外贸业务的新篇章！,http://www.zhaopin.com/jobdetail/CCL1285160610J40922326208.htm?refcode=4019&srccode=401903&preactionid=8dafd53f-5598-44bd-bac8-73f5f6e0522d,zhaopin,2026-03-13 17:41:47
